[17:51:16] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[17:51:16] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_2000k.csv
[17:51:16] | [INFO] | Pipeline | Input file type: csv
[17:51:16] | [INFO] | Pipeline | Input file delimiter: ","
[17:51:16] | [SUCCESS] | Pipeline | Setting tables location: tables
[17:51:16] | [SUCCESS] | Pipeline | Setting output file location: outputs\res.csv
[17:51:19] | [SUCCESS] | Pipeline | 2000000 lines read
[17:51:19] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[17:51:19] | [INFO] | Engine | Beginning of transformations
[17:51:19] | [DEBUG] | Functions | input data columns -> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
